,index,heart_rate,anomaly
204,2020-01-01 17:00:00,50.891282051282055,1
205,2020-01-01 17:05:00,50.92717948717949,1
206,2020-01-01 17:10:00,50.963076923076926,1
207,2020-01-01 17:15:00,50.99897435897436,1
208,2020-01-01 17:20:00,51.0348717948718,1
209,2020-01-01 17:25:00,51.07076923076924,1
210,2020-01-01 17:30:00,51.10666666666667,1
211,2020-01-01 17:35:00,51.1425641025641,1
212,2020-01-01 17:40:00,51.17846153846154,1
213,2020-01-01 17:45:00,51.21435897435897,1
214,2020-01-01 17:50:00,51.250256410256405,1
215,2020-01-01 17:55:00,51.28615384615384,1
216,2020-01-01 18:00:00,51.32205128205128,1
217,2020-01-01 18:05:00,51.35794871794872,1
218,2020-01-01 18:10:00,51.39384615384616,1
219,2020-01-01 18:15:00,51.42974358974359,1
220,2020-01-01 18:20:00,51.46564102564103,1
221,2020-01-01 18:25:00,51.50153846153846,1
222,2020-01-01 18:30:00,51.5374358974359,1
223,2020-01-01 18:35:00,51.57333333333334,1
224,2020-01-01 18:40:00,51.60923076923077,1
225,2020-01-01 18:45:00,51.64512820512821,1
226,2020-01-01 18:50:00,51.68102564102564,1
227,2020-01-01 18:55:00,51.71692307692308,1
228,2020-01-01 19:00:00,51.75282051282052,1
229,2020-01-01 19:05:00,51.78871794871795,1
230,2020-01-01 19:10:00,51.82461538461539,1
231,2020-01-01 19:15:00,51.86051282051282,1
232,2020-01-01 19:20:00,51.89641025641025,1
233,2020-01-01 19:25:00,51.93230769230769,1
234,2020-01-01 19:30:00,51.96820512820513,1
235,2020-01-01 19:35:00,52.00410256410256,1
236,2020-01-01 19:40:00,52.04,1
237,2020-01-01 19:45:00,52.07589743589743,1
238,2020-01-01 19:50:00,52.11179487179487,1
239,2020-01-01 19:55:00,52.14769230769231,1
240,2020-01-01 20:00:00,52.18358974358974,1
241,2020-01-01 20:05:00,52.21948717948718,1
242,2020-01-01 20:10:00,52.25538461538461,1
243,2020-01-01 20:15:00,52.29128205128205,1
244,2020-01-01 20:20:00,52.32717948717949,1
245,2020-01-01 20:25:00,52.363076923076925,1
246,2020-01-01 20:30:00,52.39897435897437,1
247,2020-01-01 20:35:00,52.4348717948718,1
248,2020-01-01 20:40:00,52.47076923076924,1
249,2020-01-01 20:45:00,52.50666666666666,1
250,2020-01-01 20:50:00,52.5425641025641,1
251,2020-01-01 20:55:00,52.57846153846153,1
252,2020-01-01 21:00:00,52.61435897435897,1
253,2020-01-01 21:05:00,52.6502564102564,1
254,2020-01-01 21:10:00,52.68615384615384,1
255,2020-01-01 21:15:00,52.72205128205128,1
256,2020-01-01 21:20:00,52.75794871794872,1
257,2020-01-01 21:25:00,52.79384615384616,1
258,2020-01-01 21:30:00,52.82974358974359,1
259,2020-01-01 21:35:00,52.86564102564103,1
260,2020-01-01 21:40:00,52.90153846153847,1
261,2020-01-01 21:45:00,52.9374358974359,1
262,2020-01-01 21:50:00,52.973333333333336,1
263,2020-01-01 21:55:00,53.00923076923077,1
264,2020-01-01 22:00:00,53.04512820512821,1
265,2020-01-01 22:05:00,53.08102564102565,1
266,2020-01-01 22:10:00,53.11692307692308,1
267,2020-01-01 22:15:00,53.15282051282052,1
268,2020-01-01 22:20:00,53.18871794871795,1
269,2020-01-01 22:25:00,53.22461538461539,1
270,2020-01-01 22:30:00,53.260512820512815,1
271,2020-01-01 22:35:00,53.296410256410255,1
272,2020-01-01 22:40:00,53.33230769230769,1
273,2020-01-01 22:45:00,53.36820512820513,1
274,2020-01-01 22:50:00,53.40410256410256,1
275,2020-01-01 22:55:00,53.44,1
276,2020-01-01 23:00:00,53.47589743589744,1
277,2020-01-01 23:05:00,53.51179487179487,1
278,2020-01-01 23:10:00,53.54769230769231,1
279,2020-01-01 23:15:00,53.58358974358974,1
280,2020-01-01 23:20:00,53.61948717948718,1
281,2020-01-01 23:25:00,53.65538461538462,1
282,2020-01-01 23:30:00,53.69128205128205,1
283,2020-01-01 23:35:00,53.72717948717949,1
284,2020-01-01 23:40:00,53.76307692307692,1
285,2020-01-01 23:45:00,53.79897435897436,1
286,2020-01-01 23:50:00,53.8348717948718,1
287,2020-01-01 23:55:00,53.870769230769234,1
288,2020-01-02 00:00:00,53.90666666666667,1
289,2020-01-02 00:05:00,53.942564102564106,1
290,2020-01-02 00:10:00,53.97846153846153,1
291,2020-01-02 00:15:00,54.4,1
292,2020-01-02 00:20:00,54.6,1
293,2020-01-02 00:25:00,53.2,1
294,2020-01-02 00:30:00,52.0,1
295,2020-01-02 00:35:00,52.0,1
296,2020-01-02 00:40:00,52.4,1
297,2020-01-02 00:45:00,53.0,1
298,2020-01-02 00:50:00,53.0,1
299,2020-01-02 00:55:00,53.4,1
300,2020-01-02 01:00:00,52.0,1
301,2020-01-02 01:05:00,49.0,1
302,2020-01-02 01:10:00,51.8,1
303,2020-01-02 01:15:00,55.6,1
304,2020-01-02 01:20:00,54.6,1
305,2020-01-02 01:25:00,53.6,1
306,2020-01-02 01:30:00,52.2,1
307,2020-01-02 01:35:00,51.0,1
308,2020-01-02 01:40:00,50.6,1
309,2020-01-02 01:45:00,50.0,1
310,2020-01-02 01:50:00,50.4,1
311,2020-01-02 01:55:00,50.6,1
312,2020-01-02 02:00:00,49.6,1
313,2020-01-02 02:05:00,49.8,1
314,2020-01-02 02:10:00,49.8,1
315,2020-01-02 02:15:00,48.4,1
316,2020-01-02 02:20:00,50.2,1
317,2020-01-02 02:25:00,50.4,1
318,2020-01-02 02:30:00,48.4,1
319,2020-01-02 02:35:00,48.2,1
320,2020-01-02 02:40:00,48.6,1
321,2020-01-02 02:45:00,52.6,1
322,2020-01-02 02:50:00,55.8,1
323,2020-01-02 02:55:00,54.2,1
324,2020-01-02 03:00:00,50.0,1
325,2020-01-02 03:05:00,50.4,1
326,2020-01-02 03:10:00,51.8,1
327,2020-01-02 03:15:00,53.4,1
328,2020-01-02 03:20:00,52.8,1
329,2020-01-02 03:25:00,51.0,1
330,2020-01-02 03:30:00,50.2,1
331,2020-01-02 03:35:00,49.4,1
332,2020-01-02 03:40:00,50.4,1
333,2020-01-02 03:45:00,51.0,1
334,2020-01-02 03:50:00,51.4,1
335,2020-01-02 03:55:00,52.0,1
336,2020-01-02 04:00:00,52.4,1
337,2020-01-02 04:05:00,52.2,1
338,2020-01-02 04:10:00,51.0,1
339,2020-01-02 04:15:00,51.4,1
340,2020-01-02 04:20:00,50.8,1
341,2020-01-02 04:25:00,49.4,1
342,2020-01-02 04:30:00,52.0,1
343,2020-01-02 04:35:00,55.8,1
344,2020-01-02 04:40:00,54.6,1
345,2020-01-02 04:45:00,52.2,1
346,2020-01-02 04:50:00,54.4,1
347,2020-01-02 04:55:00,54.2,1
348,2020-01-02 05:00:00,51.8,1
349,2020-01-02 05:05:00,52.4,1
350,2020-01-02 05:10:00,54.8,1
351,2020-01-02 05:15:00,51.4,1
352,2020-01-02 05:20:00,48.2,1
353,2020-01-02 05:25:00,47.0,1
354,2020-01-02 05:30:00,47.8,1
355,2020-01-02 05:35:00,49.4,1
356,2020-01-02 05:40:00,50.4,1
357,2020-01-02 05:45:00,51.0,1
358,2020-01-02 05:50:00,51.0,1
359,2020-01-02 05:55:00,51.4,1
360,2020-01-02 06:00:00,51.6,1
361,2020-01-02 06:05:00,51.4,1
362,2020-01-02 06:10:00,52.4,1
363,2020-01-02 06:15:00,53.0,1
364,2020-01-02 06:20:00,55.4,1
365,2020-01-02 06:25:00,57.8,1
366,2020-01-02 06:30:00,55.6,1
367,2020-01-02 06:35:00,54.2,1
368,2020-01-02 06:40:00,51.48,1
369,2020-01-02 06:45:00,49.36,1
370,2020-01-02 06:50:00,49.96,1
371,2020-01-02 06:55:00,50.0,1
372,2020-01-02 07:00:00,50.00824337585869,1
373,2020-01-02 07:05:00,50.04121687929343,1
374,2020-01-02 07:10:00,50.07556427870461,1
375,2020-01-02 07:15:00,50.1099116781158,1
376,2020-01-02 07:20:00,50.14425907752699,1
377,2020-01-02 07:25:00,50.17860647693818,1
378,2020-01-02 07:30:00,50.21295387634937,1
379,2020-01-02 07:35:00,50.24730127576056,1
380,2020-01-02 07:40:00,50.28164867517174,1
381,2020-01-02 07:45:00,50.31599607458293,1
382,2020-01-02 07:50:00,50.35034347399411,1
383,2020-01-02 07:55:00,50.3846908734053,1
384,2020-01-02 08:00:00,50.419038272816486,1
385,2020-01-02 08:05:00,50.45338567222768,1
386,2020-01-02 08:10:00,50.487733071638864,1
387,2020-01-02 08:15:00,50.522080471050046,1
388,2020-01-02 08:20:00,50.55642787046124,1
389,2020-01-02 08:25:00,50.59077526987242,1
390,2020-01-02 08:30:00,50.62512266928361,1
391,2020-01-02 08:35:00,50.6594700686948,1
